event_id,member_id
243930425,6770985
244208851,234724627
pxlktnywnbfb,199563568
pxlktnywnbfb,208888939
244444551,1720391
244257722,1720391
243997614,1720391
243711748,1720391
243587675,1720391
243587675,194158019
243587675,186264694
243026202,1720391
243475377,1720391
243475377,194158019
243026119,1720391
242392448,1720391
241886029,1720391
241730271,1720391
240193613,1720391
239944117,1720391
238479980,1720391
237736080,1720391
234178292,1720391
234178292,186264694
234008415,1720391
234008415,194158019
234008415,186264694
233855117,1720391
233855117,194158019
233855117,186264694
233579762,1720391
233579670,1720391
233476897,1720391
233235249,1720391
232668583,1720391
232543768,1720391
231460443,1720391
231912692,1720391
231274089,1720391
231104506,1720391
231090426,1720391
230900387,1720391
230972361,1720391
230934372,1720391
239499597,125145522
239945716,125145522
236180427,125145522
233471167,125145522
233830558,125145522
232878772,125145522
231005223,125145522
230056380,125145522
227618948,125145522
227618936,125145522
227044616,125145522
226349699,125145522
244446326,1720391
244262821,1720391
243988264,1720391
243869312,1720391
243711769,1720391
243240368,1720391
243075137,1720391
242775576,1720391
241779221,1720391
240191942,1720391
240041511,1720391
nvrmwnywnbzb,13385553
zmrsvnywnbkb,208888939
243717563,236234217
zjjbvnywnbmb,236234217
243649886,162878732
242809790,162878732
242809790,228129103
242094947,162878732
241556640,73107772
241556640,231990970
241556640,106178752
241556640,162878732
240463114,228164044
pjpnwnywnbwb,88583272
thpnwnywnbwb,88583272
243191812,183856769
243191812,234044722
244176688,174329642
244176688,61526062
244176688,58264912
244260247,13371408
243952541,13371408
242620496,13371408
243534371,13371408
241622756,13371408
242493691,13371408
241622468,13371408
241361103,13371408
240244969,228221722
nwnntnywnbgc,191532521
nwnntnywnbgc,225854465
nwnntnywnbgc,232241567
cjvbwnywnbgc,191532521
cjvbwnywnbgc,225854465
cjvbwnywnbgc,232241567
nwnntnywnbwb,191532521
nwnntnywnbwb,225854465
nwnntnywnbwb,232241567
cjvbwnywnbwb,191532521
cjvbwnywnbwb,225854465
nwnntnywnbnb,191532521
nwnntnywnbnb,225854465
nwnntnywnbnb,232241567
nwnntnywnbnb,223039509
nwnntnywnbfb,191532521
nwnntnywnbfb,201164832
nwnntnywnbfb,225854465
zwgntnywnbjc,233389780
zwgntnywnbzb,233389780
241215543,191910306
244479480,186008461
244293547,184360544
244246979,184360544
244246979,163094212
241173421,230218823
241173421,6593526
241173421,202633909
241173421,11288886
240970877,11288886
244441929,235261229
243852102,235261229
243658466,235261229
243468926,235261229
242971373,235261229
233512149,191433023
243739470,237624833
243739470,237625764
243739470,134794692
243739470,1575535
243739470,238162135
wnbpkmywnbkc,197580884
wnbpkmywmbmc,197580884
wnbpkmywmbmc,233911212
wnbpkmywlbhc,197580884
wnbpkmywkblc,197580884
wnbpkmywhbjc,197580884
wnbpkmywgblc,197580884
wnbpkmywfbpc,197580884
wnbpkmywfbgb,197580884
wnbpkmywdbgb,197580884
243942299,235919891
243942299,10391989
243942299,194165519
243942299,9313723
244492876,60992172
244492876,191709519
244322390,191709519
243916863,191709519
243916863,3246917
243406210,227480320
243406210,222487532
243637412,227480320
243392954,227480320
243190553,227480320
243190553,171095192
243190553,214899808
244125517,217055526
242338932,217055526
237142654,217055526
237142654,61821252
238411140,629372
238411140,188988997
237329385,128461512
237329385,629372
237329385,188988997
237162810,128461512
237162810,629372
237162810,209013189
237162810,188988997
241401020,10740348
241401020,226903957
241401020,228261135
243132124,207791170
243132124,235428814
243132124,226369649
243132124,190791617
243132124,13050124
240296962,153660532
240296962,229575720
240296962,177235402
243775803,7939685
243775803,220443481
243775803,89446912
243775803,238006981
243775803,236840884
243775803,236820716
fqspvnywnbhc,13385553
fqspvnywnbhc,220540112
fqspvnywnbhc,222657420
fqspvnywnbhc,186934449
fqspvnywnbhc,232241567
fqspvnywnbxb,13385553
fqspvnywnbxb,220540112
fqspvnywnbxb,222657420
fqspvnywnbxb,186934449
fqspvnywnbxb,9470306
fqspvnywnbpb,13385553
fqspvnywnbpb,220540112
fqspvnywnbpb,237816521
fqspvnywnbpb,237803257
fqspvnywnbpb,232241567
sddfvnywnbgb,13385553
sddfvnywnbgb,220540112
sddfvnywnbgb,237816521
sddfvnywnbgb,186934449
sddfvnywnbgb,12131688
242797674,200327442
242797674,199072232
242797674,199210779
242797792,200327442
242797792,199072232
242797792,204360367
241687663,199072232
241687663,203780489
241687663,199210779
237706084,212100370
237706084,200327442
237706084,199072232
237706084,203780489
237706084,199210779
237706084,8625444
237706084,227230995
237706071,199072232
237706071,203780489
237706071,8625444
234477354,200327442
234477354,199072232
234477354,199210779
234477354,8625444
234477303,199072232
233258817,200327442
233258817,199072232
233258817,199210779
231336995,200327442
231336995,199072232
231336995,203780489
231336995,199210779
231336995,193863309
229127997,199072232
229127997,203780489
229127997,193863309
228613265,199227254
228613265,199230352
228613265,199072232
228613265,199210779
244583263,237822997
244583263,229380747
244321194,229380747
244164027,237822997
244164027,229380747
244164027,184847215
243970739,237822997
243970739,229380747
243748598,229380747
243748598,184847215
