Date,Order
2017-02-04,6386
2017-02-05,328
2017-02-06,7653
2017-02-07,7811
2017-02-08,8530
2017-02-09,13395
2017-02-10,12755
2017-02-11,595
2017-02-12,391
2017-02-13,10059
2017-02-14,11130
2017-02-15,18794
2017-02-16,9929
2017-02-17,10411
2017-02-18,14486
2017-02-19,896
2017-02-20,9200
2017-02-21,9228
2017-02-22,17387
2017-02-23,25061
2017-02-24,14194
2017-02-25,5927
2017-02-26,518
2017-02-27,12970
2017-02-28,9760
2017-03-01,13441
2017-03-02,21374
2017-03-03,10997
2017-03-04,11068
2017-03-05,780
2017-03-06,10549
2017-03-07,10896
2017-03-08,10619
2017-03-09,24864
2017-03-10,11485
2017-03-11,10303
2017-03-12,678
2017-03-13,10028
2017-03-14,16219
2017-03-15,10107
2017-03-16,18936
2017-03-17,10548
2017-03-18,6058
2017-03-19,1880
2017-03-20,9323
2017-03-21,9219
2017-03-22,8892
2017-03-23,17100
2017-03-24,11787
2017-03-25,5072
2017-03-26,948
2017-03-27,12877
2017-03-28,14978
2017-03-29,15837
2017-03-30,21812
2017-03-31,17966
2017-04-01,4647
2017-04-02,463
2017-04-03,8150
2017-04-04,13988
2017-04-05,13577
2017-04-06,20059
2017-04-07,11314
2017-04-08,4147
2017-04-09,310
2017-04-10,16885
2017-04-11,14631
2017-04-12,12418
2017-04-13,17323
2017-04-14,8034
2017-04-15,2083
2017-04-16,339
2017-04-17,8548
2017-04-18,14025
2017-04-19,12396
2017-04-20,11331
2017-04-21,13104
2017-04-22,13059
2017-04-23,355
2017-04-24,11151
2017-04-25,9304
2017-04-26,13123
2017-04-27,14239
2017-04-28,11944
2017-04-29,15958
2017-04-30,909
2017-05-01,12855
2017-05-02,14835
2017-05-03,16903
2017-05-04,14542
2017-05-05,13776
2017-05-06,16618
2017-05-07,374
2017-05-08,10701
2017-05-09,14779
2017-05-10,15156
2017-05-11,17964
2017-05-12,13382
2017-05-13,5386
2017-05-14,379
2017-05-15,12577
2017-05-16,17544
2017-05-17,22541
2017-05-18,20533
2017-05-19,9844
2017-05-20,13428
2017-05-21,1133
2017-05-22,13308
2017-05-23,12066
2017-05-24,18475
2017-05-25,16605
2017-05-26,17529
2017-05-27,11205
2017-05-28,420
2017-05-29,3756
2017-05-30,17257
2017-05-31,13713
2017-06-01,16878
2017-06-02,14306
2017-06-03,10864
2017-06-04,268
2017-06-05,18114
2017-06-06,14743
2017-06-07,17072
2017-06-08,17217
2017-06-09,15143
2017-06-10,9478
2017-06-11,375
2017-06-12,14722
2017-06-13,15219
2017-06-14,16094
2017-06-15,17293
2017-06-16,15301
2017-06-17,18176
2017-06-18,395
2017-06-19,12924
2017-06-20,12882
2017-06-21,21764
2017-06-22,16784
2017-06-23,15357
2017-06-24,13551
2017-06-25,285
2017-06-26,14863
2017-06-27,15740
2017-06-28,9522
2017-06-29,17697
2017-06-30,18921
2017-07-01,11425
2017-07-02,916
2017-07-03,14423
2017-07-04,2114
2017-07-05,16882
2017-07-06,19699
2017-07-07,13031
2017-07-08,4997
2017-07-09,356
2017-07-10,15565
2017-07-11,12381
2017-07-12,17457
2017-07-13,16256
2017-07-14,17898
2017-07-15,6414
2017-07-16,423
2017-07-17,16750
2017-07-18,13919
2017-07-19,14086
2017-07-20,24457
2017-07-21,15781
2017-07-22,6473
2017-07-23,539
2017-07-24,13099
2017-07-25,7611
2017-07-26,11854
2017-07-27,19372
2017-07-28,12026
2017-07-29,8826
2017-07-30,466
2017-07-31,15585
2017-08-01,15366
2017-08-02,14618
2017-08-03,14471
2017-08-04,9937
2017-08-05,10879
2017-08-06,586
2017-08-07,9311
2017-08-08,11022
2017-08-09,12567
2017-08-10,21060
2017-08-11,12702
2017-08-12,9635
2017-08-13,309
2017-08-14,11604
2017-08-15,10204
2017-08-16,10280
2017-08-17,21271
2017-08-18,10815
2017-08-19,3020
2017-08-20,796
2017-08-21,7807
2017-08-22,14151
2017-08-23,13653
2017-08-24,16006
2017-08-25,12580
2017-08-26,8066
2017-08-27,362
2017-08-28,10480
2017-08-29,11916
2017-08-30,7982
2017-08-31,20630
2017-09-01,16327
2017-09-02,7095
2017-09-03,85
2017-09-04,1768
2017-09-05,8568
2017-09-06,14527
2017-09-07,18855
2017-09-08,8863
2017-09-09,5414
2017-09-10,514
2017-09-11,11358
2017-09-12,11471
2017-09-13,12489
2017-09-14,16802
2017-09-15,13698
2017-09-16,1974
2017-09-17,1016
2017-09-18,14662
2017-09-19,13419
2017-09-20,13872
2017-09-21,14335
2017-09-22,10163
2017-09-23,8332
2017-09-24,3867
2017-09-25,12326
2017-09-26,17376
2017-09-27,13596
2017-09-28,19497
2017-09-29,11707
2017-09-30,14110
2017-10-01,1660
2017-10-02,11600
2017-10-03,17359
2017-10-04,11753
2017-10-05,15671
2017-10-06,17223
2017-10-07,5284
2017-10-08,178
2017-10-09,8638
2017-10-10,10253
2017-10-11,10842
2017-10-12,17261
2017-10-13,10187
2017-10-14,3240
2017-10-15,207
2017-10-16,18497
2017-10-17,11624
2017-10-18,13983
2017-10-19,22206
2017-10-20,12788
2017-10-21,7137
2017-10-22,435
2017-10-23,12003
2017-10-24,15751
2017-10-25,15167
2017-10-26,23357
2017-10-27,12201
2017-10-28,13564
2017-10-29,259
2017-10-30,12501
2017-10-31,9432
2017-11-01,13463
2017-11-02,17696
2017-11-03,14352
2017-11-04,16676
2017-11-05,1624
2017-11-06,13336
2017-11-07,12144
2017-11-08,11394
2017-11-09,20908
2017-11-10,16000
2017-11-11,9064
2017-11-12,777
2017-11-13,14265
2017-11-14,15832
2017-11-15,12112
2017-11-16,20202
2017-11-17,15820
2017-11-18,8761
2017-11-19,705
2017-11-20,14107
2017-11-21,12913
2017-11-22,14369
2017-11-23,5283
2017-11-24,9178
2017-11-25,1891
2017-11-26,1574
2017-11-27,27297
2017-11-28,11047
2017-11-29,7896
2017-11-30,14864
2017-12-01,14166
2017-12-02,19011
2017-12-03,1135
2017-12-04,2235
2017-12-05,14513
2017-12-06,12795
2017-12-07,22453
2017-12-08,12841
2017-12-09,17014
2017-12-10,454
2017-12-11,10690
2017-12-12,15288
2017-12-13,28653
2017-12-14,12429
2017-12-15,19896
2017-12-16,15839
2017-12-17,309
2017-12-18,4694
2017-12-19,18061
2017-12-20,12653
2017-12-21,9326
2017-12-22,25295
2017-12-23,712
2017-12-24,215
2017-12-25,457
2017-12-26,7668
2017-12-27,11683
2017-12-28,19046
2017-12-29,8827
2017-12-30,20641
2017-12-31,645
2018-01-01,396
2018-01-02,7480
2018-01-03,9648
2018-01-04,7353
2018-01-05,8805
2018-01-06,13621
2018-01-07,553
2018-01-08,6337
2018-01-09,10303
2018-01-10,10721
2018-01-11,11755
2018-01-12,10671
2018-01-13,13242
2018-01-14,489
2018-01-15,7780
2018-01-16,11352
2018-01-17,10826
2018-01-18,18402
2018-01-19,12072
2018-01-20,3527
2018-01-21,953
2018-01-22,14294
2018-01-23,16848
2018-01-24,11370
2018-01-25,15996
2018-01-26,14388
2018-01-27,14515
2018-01-28,404
2018-01-29,12976
2018-01-30,10377
2018-01-31,12539
2018-02-01,13367
2018-02-02,13158
2018-02-03,24351
2018-02-04,491
2018-02-05,7801
2018-02-06,9546
2018-02-07,10684
2018-02-08,10185
2018-02-09,9166
2018-02-10,21512
2018-02-11,509
2018-02-12,12291
2018-02-13,15074
2018-02-14,15755
2018-02-15,13823
2018-02-16,13154
2018-02-17,11298
2018-02-18,1049
2018-02-19,12914
2018-02-20,9711
2018-02-21,8966
2018-02-22,11682
2018-02-23,13742
2018-02-24,3112
2018-02-25,715
2018-02-26,8549
2018-02-27,16068
2018-02-28,13168
2018-03-01,12710
2018-03-02,17190
2018-03-03,10396
2018-03-04,307
2018-03-05,13027
2018-03-06,10518
2018-03-07,9707
2018-03-08,13537
2018-03-09,10881
2018-03-10,11733
2018-03-11,323
2018-03-12,14482
2018-03-13,15855
2018-03-14,10402
2018-03-15,15248
2018-03-16,12733
2018-03-17,9724
2018-03-18,397
2018-03-19,12652
2018-03-20,8388
2018-03-21,13877
2018-03-22,14065
2018-03-23,13850
2018-03-24,6458
2018-03-25,474
2018-03-26,15691
2018-03-27,10709
2018-03-28,13030
2018-03-29,18545
2018-03-30,9978
2018-03-31,7557
2018-04-01,518
2018-04-02,13983
2018-04-03,9955
2018-04-04,11491
2018-04-05,10250
2018-04-06,12267
2018-04-07,4371
2018-04-08,390
2018-04-09,10160
2018-04-10,24981
2018-04-11,12950
2018-04-12,12575
2018-04-13,14040
2018-04-14,6756
2018-04-15,423
2018-04-16,14013
2018-04-17,19773
2018-04-18,13014
2018-04-19,24259
2018-04-20,8066
2018-04-21,10753
2018-04-22,849
2018-04-23,11964
2018-04-24,10760
2018-04-25,15098
2018-04-26,17158
2018-04-27,10697
2018-04-28,11154
2018-04-29,3007
2018-04-30,15175
2018-05-01,15771
2018-05-02,11614
2018-05-03,21613
2018-05-04,12004
2018-05-05,8092
2018-05-06,807
2018-05-07,10066
2018-05-08,12155
2018-05-09,9897
2018-05-10,32621
2018-05-11,14797
2018-05-12,6892
2018-05-13,1209
2018-05-14,12497
2018-05-15,10919
2018-05-16,12600
2018-05-17,23687
2018-05-18,15045
2018-05-19,6854
2018-05-20,528
2018-05-21,9163
2018-05-22,10250
2018-05-23,12349
2018-05-24,12924
2018-05-25,9370
2018-05-26,20234
2018-05-27,513
2018-05-28,2152
2018-05-29,13334
2018-05-30,11972
2018-05-31,10372
2018-06-01,15133
2018-06-02,7237
2018-06-03,495
2018-06-04,12344
2018-06-05,9771
2018-06-06,9328
2018-06-07,26126
2018-06-08,10505
2018-06-09,11049
2018-06-10,666
2018-06-11,15741
2018-06-12,14827
2018-06-13,10250
2018-06-14,13903
2018-06-15,10222
2018-06-16,31346
2018-06-17,365
2018-06-18,9566
2018-06-19,10434
2018-06-20,17939
2018-06-21,21786
2018-06-22,11039
2018-06-23,10053
2018-06-24,803
2018-06-25,9354
2018-06-26,10727
2018-06-27,10965
2018-06-28,10474
2018-06-29,9455
2018-06-30,9
2018-07-01,47343
2018-07-02,21118
2018-07-03,12951
2018-07-04,2495
2018-07-05,10702
2018-07-06,9419
2018-07-07,15951
2018-07-08,737
2018-07-09,9528
2018-07-10,2535
2018-07-11,14783
2018-07-12,13436
2018-07-13,10889
2018-07-14,18213
2018-07-15,336
2018-07-16,14045
2018-07-17,12900
2018-07-18,9945
2018-07-19,11668
2018-07-20,13540
2018-07-21,12293
2018-07-22,380
2018-07-23,12997
2018-07-24,4335
2018-07-25,11817
2018-07-26,10302
2018-07-27,8285
2018-07-28,3845
2018-07-29,402
2018-07-30,9990
2018-07-31,8121
2018-08-01,10472
2018-08-02,13595
2018-08-03,14166
2018-08-04,1770
2018-08-05,340
2018-08-06,8806
2018-08-07,6169
2018-08-08,11906
2018-08-09,13727
2018-08-10,12290
2018-08-11,2211
2018-08-12,1353
2018-08-13,9960
2018-08-14,14133
2018-08-15,7294
2018-08-16,8263
2018-08-17,8607
2018-08-18,4676
2018-08-19,768
2018-08-20,6833
2018-08-21,10025
2018-08-22,8113
2018-08-23,14318
2018-08-24,4064
2018-08-25,4882
2018-08-26,279
2018-08-27,8968
2018-08-28,12177
2018-08-29,5891
2018-08-30,16812
2018-08-31,13493
2018-09-01,6629
2018-09-02,202
2018-09-03,1508
2018-09-04,7582
2018-09-05,8500
2018-09-06,5604
2018-09-07,6769
2018-09-08,5416
2018-09-09,598
2018-09-10,17974
