Customer ID,Recency,Frequency,MonetaryValue,R,F,M,ExpectedRevenue
12347.0,54 days 00:00:00.000000000,124,2434.9599999999996,3,4,4,967.4300000000001
12358.0,183 days 00:00:00.000000000,41,1289.1799999999998,2,3,3,484.85999999999996
12359.0,48 days 00:00:00.000000000,149,3391.739999999999,3,4,4,1109.3199999999997
12360.0,8 days 00:00:00.000000000,88,1894.37,4,3,4,534.7000000000002
12362.0,33 days 00:00:00.000000000,58,969.44,4,3,3,755.1099999999998
12363.0,50 days 00:00:00.000000000,16,299.1,3,1,2,252.90000000000003
12379.0,230 days 00:00:00.000000000,41,767.9799999999999,1,3,3,457.88999999999993
12380.0,189 days 00:00:00.000000000,124,3458.790000000001,2,4,4,607.5500000000001
12383.0,46 days 00:00:00.000000000,95,1739.8599999999997,3,4,4,99.45
12388.0,83 days 00:00:00.000000000,55,1425.0800000000008,3,3,3,902.0900000000001
12395.0,19 days 00:00:00.000000000,115,2129.019999999999,4,4,4,329.85
12399.0,21 days 00:00:00.000000000,78,1416.6200000000006,4,3,3,339.7
12406.0,196 days 00:00:00.000000000,27,1162.2600000000002,2,2,3,1486.7
12407.0,43 days 00:00:00.000000000,27,495.9599999999999,3,2,2,911.4
12408.0,53 days 00:00:00.000000000,99,2245.3299999999995,3,4,4,652.5300000000002
12409.0,228 days 00:00:00.000000000,71,5231.06,1,3,4,6202.129999999999
12412.0,210 days 00:00:00.000000000,70,1354.1499999999999,1,3,3,890.7399999999999
12415.0,11 days 00:00:00.000000000,491,69834.04,4,4,4,48103.60999999999
12417.0,33 days 00:00:00.000000000,163,3092.6399999999994,4,4,4,1355.4399999999998
12418.0,221 days 00:00:00.000000000,28,473.31000000000006,1,2,2,668.5799999999997
12421.0,127 days 00:00:00.000000000,32,444.01,2,2,2,470.34000000000003
12422.0,132 days 00:00:00.000000000,88,1936.4000000000003,2,3,4,417.36
12423.0,8 days 00:00:00.000000000,131,2129.85,4,4,4,283.9
12424.0,230 days 00:00:00.000000000,63,1553.5700000000002,1,3,4,1760.9599999999998
12428.0,50 days 00:00:00.000000000,240,6236.2300000000005,3,4,4,1232.6299999999997
12429.0,35 days 00:00:00.000000000,98,4123.09,3,4,4,1125.4
12431.0,0 days 00:00:00.000000000,204,5058.139999999998,4,4,4,1654.88
12437.0,6 days 00:00:00.000000000,237,5308.610000000001,4,4,4,501.64000000000004
12449.0,218 days 00:00:00.000000000,10,768.6,1,1,3,1636.88
12450.0,207 days 00:00:00.000000000,32,469.07,2,2,2,197.88
12451.0,26 days 00:00:00.000000000,354,8920.829999999996,4,4,4,-102.0
12455.0,103 days 00:00:00.000000000,60,2182.04,3,3,4,477.46
12456.0,62 days 00:00:00.000000000,41,940.1700000000001,3,3,3,1298.0799999999997
12457.0,41 days 00:00:00.000000000,53,1396.8799999999997,3,3,3,-9.75
12463.0,7 days 00:00:00.000000000,41,636.5499999999998,4,3,3,337.8400000000001
12464.0,8 days 00:00:00.000000000,15,544.85,4,1,2,235.7
12468.0,124 days 00:00:00.000000000,44,816.4999999999998,2,3,3,503.45
12471.0,12 days 00:00:00.000000000,581,18324.300000000003,4,4,4,2681.2800000000025
12472.0,62 days 00:00:00.000000000,488,7959.209999999999,3,4,4,1851.669999999999
12474.0,8 days 00:00:00.000000000,412,6420.549999999997,4,4,4,1177.25
12476.0,11 days 00:00:00.000000000,393,9489.990000000003,4,4,4,708.5199999999999
12477.0,47 days 00:00:00.000000000,270,9608.170000000004,3,4,4,4251.709999999999
12480.0,75 days 00:00:00.000000000,168,3740.7400000000002,3,4,4,557.6800000000001
12481.0,12 days 00:00:00.000000000,242,6388.280000000002,4,4,4,1001.21
12483.0,13 days 00:00:00.000000000,64,2373.8999999999996,4,3,4,319.95000000000005
12484.0,85 days 00:00:00.000000000,163,2207.300000000001,3,4,4,2519.9799999999996
12490.0,22 days 00:00:00.000000000,153,3054.2600000000007,4,4,4,1321.0499999999993
12492.0,211 days 00:00:00.000000000,22,452.0000000000001,1,2,2,126.39
12493.0,0 days 00:00:00.000000000,13,215.55,4,1,1,201.24
12494.0,4 days 00:00:00.000000000,58,901.3900000000004,4,3,3,135.32
12500.0,74 days 00:00:00.000000000,33,1580.55,3,2,4,563.64
12502.0,25 days 00:00:00.000000000,77,1842.65,4,3,4,788.8700000000001
12507.0,106 days 00:00:00.000000000,13,446.15999999999997,3,1,2,811.9
12510.0,133 days 00:00:00.000000000,70,1462.27,2,3,3,301.52
12516.0,238 days 00:00:00.000000000,23,647.1,1,2,3,583.2
12520.0,12 days 00:00:00.000000000,105,1645.8100000000006,4,4,4,348.29
12523.0,60 days 00:00:00.000000000,103,1674.15,3,4,4,517.5600000000001
12524.0,12 days 00:00:00.000000000,182,7156.440000000006,4,4,4,289.1
12528.0,67 days 00:00:00.000000000,46,765.4599999999999,3,3,3,510.7099999999999
12530.0,41 days 00:00:00.000000000,88,2213.6900000000005,3,3,4,378.00000000000006
12540.0,0 days 00:00:00.000000000,340,10867.51,4,4,4,2642.34
12541.0,88 days 00:00:00.000000000,17,312.4,3,1,2,223.74
12553.0,12 days 00:00:00.000000000,148,2594.8900000000003,4,4,4,684.9699999999999
12557.0,64 days 00:00:00.000000000,31,9007.159999999998,3,2,4,4146.34
12562.0,6 days 00:00:00.000000000,60,1630.1399999999999,4,3,4,1160.2699999999998
12567.0,9 days 00:00:00.000000000,247,5379.389999999999,4,4,4,2787.4999999999995
12569.0,26 days 00:00:00.000000000,44,1140.62,4,3,3,700.7
12576.0,26 days 00:00:00.000000000,88,1198.5400000000002,4,3,3,230.35
12583.0,8 days 00:00:00.000000000,200,6430.240000000003,4,4,4,1189.8200000000002
12584.0,78 days 00:00:00.000000000,19,453.73000000000013,3,2,2,234.56000000000006
12589.0,222 days 00:00:00.000000000,134,1731.9900000000007,1,4,4,131.5
12590.0,19 days 00:00:00.000000000,69,9859.310000000003,4,3,4,-2.88
12593.0,26 days 00:00:00.000000000,11,236.00000000000003,4,1,1,182.10000000000002
12594.0,0 days 00:00:00.000000000,142,3317.1400000000012,4,4,4,764.9100000000002
12597.0,76 days 00:00:00.000000000,30,516.15,3,2,2,912.6599999999999
12598.0,28 days 00:00:00.000000000,85,2047.9399999999998,4,3,4,298.6400000000001
12599.0,16 days 00:00:00.000000000,73,1228.5200000000004,4,3,3,393.17999999999995
12600.0,12 days 00:00:00.000000000,61,2255.6800000000003,4,3,4,620.6
12601.0,0 days 00:00:00.000000000,31,605.66,4,2,2,68.1
12609.0,126 days 00:00:00.000000000,86,1553.19,2,3,4,512.8
12615.0,221 days 00:00:00.000000000,107,2213.4600000000005,1,4,4,634.7400000000002
12619.0,42 days 00:00:00.000000000,12,631.66,3,1,3,1066.1199999999997
12621.0,8 days 00:00:00.000000000,418,15302.049999999994,4,4,4,2829.020000000001
12626.0,119 days 00:00:00.000000000,67,1166.5500000000002,2,3,3,3375.320000000001
12633.0,4 days 00:00:00.000000000,282,5184.130000000003,4,4,4,195.85000000000002
