R,F,M,CustomerCount,ExpectedRevenue,Probability
4,1,1,69,296.60959595959605,0.34782608695652173
3,1,1,146,296.60959595959605,0.17123287671232876
2,1,1,193,296.60959595959605,0.14507772020725387
1,1,1,359,296.60959595959605,0.06128133704735376
4,1,2,41,308.12539682539676,0.43902439024390244
3,1,2,52,308.12539682539676,0.25
2,1,2,56,308.12539682539676,0.26785714285714285
1,1,2,97,308.12539682539676,0.17525773195876287
4,1,3,13,729.7209375,0.3076923076923077
3,1,3,19,729.7209375,0.3684210526315789
2,1,3,29,729.7209375,0.4482758620689655
1,1,3,22,729.7209375,0.36363636363636365
4,1,4,5,737.5046153846154,1.0
3,1,4,12,737.5046153846154,0.5
2,1,4,5,737.5046153846154,0.2
1,1,4,7,737.5046153846154,0.14285714285714285
4,2,1,21,178.4993548387097,0.3333333333333333
3,2,1,39,178.4993548387097,0.07692307692307693
2,2,1,83,178.4993548387097,0.12048192771084337
1,2,1,100,178.4993548387097,0.11
4,2,2,78,330.30819354838707,0.5128205128205128
3,2,2,133,330.30819354838707,0.3383458646616541
2,2,2,167,330.30819354838707,0.2215568862275449
1,2,2,188,330.30819354838707,0.17553191489361702
4,2,3,54,521.4521052631579,0.42592592592592593
3,2,3,60,521.4521052631579,0.4
2,2,3,66,521.4521052631579,0.30303030303030304
1,2,3,47,521.4521052631579,0.19148936170212766
4,2,4,15,1323.6631034482762,0.6666666666666666
3,2,4,19,1323.6631034482762,0.5789473684210527
2,2,4,11,1323.6631034482762,0.6363636363636364
1,2,4,5,1323.6631034482762,0.2
4,3,1,7,222.17411764705884,0.8571428571428571
3,3,1,14,222.17411764705884,0.21428571428571427
2,3,1,35,222.17411764705884,0.14285714285714285
1,3,1,27,222.17411764705884,0.1111111111111111
4,3,2,32,265.2010416666667,0.5
3,3,2,36,265.2010416666667,0.25
2,3,2,90,265.2010416666667,0.17777777777777778
1,3,2,66,265.2010416666667,0.10606060606060606
4,3,3,150,413.86082568807353,0.54
3,3,3,162,413.86082568807353,0.4506172839506173
2,3,3,174,413.86082568807353,0.3103448275862069
1,3,3,83,413.86082568807353,0.12048192771084337
4,3,4,78,1410.2546956521737,0.7692307692307693
3,3,4,66,1410.2546956521737,0.5909090909090909
2,3,4,34,1410.2546956521737,0.29411764705882354
1,3,4,24,1410.2546956521737,0.25
4,4,1,0,151.98,0.0
3,4,1,0,151.98,0.0
2,4,1,0,151.98,0.0
1,4,1,1,151.98,1.0
4,4,2,4,232.57944444444445,0.75
3,4,2,20,232.57944444444445,0.55
2,4,2,26,232.57944444444445,0.15384615384615385
1,4,2,8,232.57944444444445,0.0
4,4,3,56,342.35747252747245,0.5714285714285714
3,4,3,77,342.35747252747245,0.5194805194805194
2,4,3,60,342.35747252747245,0.25
1,4,3,22,342.35747252747245,0.18181818181818182
4,4,4,486,1730.850502354786,0.8683127572016461
3,4,4,224,1730.850502354786,0.75
2,4,4,82,1730.850502354786,0.4634146341463415
1,4,4,21,1730.850502354786,0.42857142857142855
