,R,F,M,CustomerCount,ExpectedRevenue,Probability,x
0,4,1,1,69,296.60959595959605,0.3478260869565217,0.0
1,3,1,1,146,296.60959595959605,0.17123287671232876,0.0
2,2,1,1,193,296.60959595959605,0.14507772020725387,0.0
3,1,1,1,359,296.60959595959605,0.061281337047353765,0.0
4,4,1,2,41,308.1253968253968,0.4390243902439024,0.0
5,3,1,2,52,308.1253968253968,0.25,0.0
6,2,1,2,56,308.1253968253968,0.26785714285714285,0.0
7,1,1,2,97,308.1253968253968,0.17525773195876287,0.0
8,4,1,3,13,729.7209375,0.3076923076923077,0.0
9,3,1,3,19,729.7209375,0.3684210526315789,0.0
10,2,1,3,29,729.7209375,0.4482758620689655,1.0
11,1,1,3,22,729.7209375,0.3636363636363637,1.0
12,4,1,4,5,737.5046153846154,1.0,1.0
13,3,1,4,12,737.5046153846154,0.5,1.0
14,2,1,4,5,737.5046153846154,0.2,1.0
15,1,1,4,7,737.5046153846154,0.14285714285714285,1.0
16,4,2,1,21,178.49935483870968,0.3333333333333333,0.0
17,3,2,1,39,178.49935483870968,0.07692307692307693,0.0
18,2,2,1,83,178.49935483870968,0.12048192771084335,0.0
19,1,2,1,100,178.49935483870968,0.11,0.0
20,4,2,2,78,330.30819354838707,0.5128205128205128,0.0
21,3,2,2,133,330.30819354838707,0.3383458646616541,0.0
22,2,2,2,167,330.30819354838707,0.2215568862275449,0.0
23,1,2,2,188,330.30819354838707,0.17553191489361702,0.0
24,4,2,3,54,521.4521052631579,0.4259259259259259,0.0
25,3,2,3,60,521.4521052631579,0.4,0.0
26,2,2,3,66,521.4521052631579,0.30303030303030304,1.0
27,1,2,3,47,521.4521052631579,0.1914893617021277,1.0
28,4,2,4,15,1323.6631034482762,0.6666666666666666,1.0
29,3,2,4,19,1323.6631034482762,0.5789473684210527,1.0
30,2,2,4,11,1323.6631034482762,0.6363636363636364,1.0
31,1,2,4,5,1323.6631034482762,0.2,1.0
32,4,3,1,7,222.17411764705884,0.8571428571428571,1.0
33,3,3,1,14,222.17411764705884,0.21428571428571427,0.0
34,2,3,1,35,222.17411764705884,0.14285714285714285,0.0
35,1,3,1,27,222.17411764705884,0.1111111111111111,0.0
36,4,3,2,32,265.2010416666667,0.5,1.0
37,3,3,2,36,265.2010416666667,0.25,0.0
38,2,3,2,90,265.2010416666667,0.17777777777777778,0.0
39,1,3,2,66,265.2010416666667,0.10606060606060606,0.0
40,4,3,3,150,413.8608256880735,0.54,1.0
41,3,3,3,162,413.8608256880735,0.4506172839506173,1.0
42,2,3,3,174,413.8608256880735,0.3103448275862069,1.0
43,1,3,3,83,413.8608256880735,0.12048192771084335,0.0
44,4,3,4,78,1410.2546956521735,0.7692307692307693,1.0
45,3,3,4,66,1410.2546956521735,0.5909090909090909,1.0
46,2,3,4,34,1410.2546956521735,0.29411764705882354,1.0
47,1,3,4,24,1410.2546956521735,0.25,1.0
48,4,4,1,0,151.98,0.0,0.0
49,3,4,1,0,151.98,0.0,0.0
50,2,4,1,0,151.98,0.0,0.0
51,1,4,1,1,151.98,1.0,1.0
52,4,4,2,4,232.57944444444442,0.75,0.0
53,3,4,2,20,232.57944444444442,0.55,0.0
54,2,4,2,26,232.57944444444442,0.15384615384615385,0.0
55,1,4,2,8,232.57944444444442,0.0,0.0
56,4,4,3,56,342.3574725274724,0.5714285714285714,1.0
57,3,4,3,77,342.3574725274724,0.5194805194805194,1.0
58,2,4,3,60,342.3574725274724,0.25,1.0
59,1,4,3,22,342.3574725274724,0.18181818181818185,1.0
60,4,4,4,486,1730.8505023547862,0.8683127572016461,1.0
61,3,4,4,224,1730.8505023547862,0.75,1.0
62,2,4,4,82,1730.8505023547862,0.4634146341463415,1.0
63,1,4,4,21,1730.8505023547862,0.42857142857142855,1.0
