q24r1,avg_q24r2r3,avg_q25r1r2r3,q26r3,q26r4,q26r5,X,clusterresults.cluster,numdata$q1
2,2,1.666666667,4,1,1,1853,2,2
5,1.5,2.666666667,4,3,3,1097,1,2
6,1,2.666666667,2,5,4,65,1,6
4,3,2,2,3,4,1762,1,2
2,1.5,3,2,4,4,1016,3,4
1,5,2.666666667,3,2,3,1511,2,1
4,3.5,3,4,5,3,1404,3,3
4,1,3.333333333,1,2,2,1027,1,5
5,1.5,2.666666667,3,6,4,729,3,3
3,3,2,1,1,2,751,2,4
4,1.5,2,1,2,4,121,1,3
6,1,1,2,4,2,628,1,2
2,1.5,1,2,2,1,2117,2,2
4,2,2.333333333,2,4,5,1317,3,6
5,1.5,1.333333333,3,3,4,1349,1,2
3,1.5,2.333333333,2,4,3,277,3,7
1,1,1.333333333,1,5,1,1891,2,4
4,3.5,2.333333333,4,2,2,2139,1,3
1,1,2,3,3,4,1112,2,2
4,2,2.666666667,2,2,2,1861,1,4
1,1,1.666666667,5,2,2,908,2,2
6,2,1.333333333,1,2,2,1345,1,3
6,4.5,5.666666667,2,2,5,2030,1,9
3,2,3,3,4,4,1449,3,7
2,2.5,2.333333333,2,2,3,2310,2,4
3,1.5,2.666666667,4,3,3,420,3,2
1,1,1,1,1,1,431,2,2
3,2.5,4.666666667,1,1,6,550,3,3
3,3,3,3,2,2,2146,2,3
3,1.5,2,3,4,3,256,3,2
4,3,2,2,2,2,2329,1,4
3,1.5,1,1,3,3,1833,2,6
4,2,3.333333333,3,2,2,720,1,3
2,1,3.333333333,1,3,4,1230,2,6
1,1,4.333333333,6,1,6,139,3,2
1,1,1.333333333,2,3,2,1099,2,2
1,1.5,2.666666667,1,2,3,1397,2,3
5,2,2,2,1,3,1378,1,2
3,1.5,1.666666667,1,4,3,2109,2,2
3,2,3.666666667,1,3,3,2307,1,4
6,1,2.666666667,3,5,3,1103,1,4
4,1.5,1.333333333,5,2,1,610,1,2
5,2,1.666666667,5,3,6,1543,3,3
4,2,3,3,3,5,1373,3,8
1,1,1.666666667,2,1,3,1375,2,3
3,4,1.666666667,3,4,4,1428,3,9
3,4,2.333333333,1,1,2,2242,2,3
4,1.5,2.666666667,2,4,4,1588,3,3
4,2.5,3,2,4,5,1193,3,3
3,1.5,1.666666667,2,5,4,1553,3,5
2,1,4,1,6,3,568,3,4
5,1,1.333333333,2,2,5,1731,1,7
4,1.5,2.333333333,1,5,3,1860,1,7
4,3,2.666666667,3,2,3,163,1,2
4,3.5,3,1,4,4,24,3,7
4,1,2,1,2,2,2347,1,5
4,3.5,3,3,4,4,493,3,4
3,1.5,3,1,3,4,306,1,2
5,2,2.333333333,1,2,3,862,1,3
3,3.5,1,1,1,1,413,2,4
1,1,1,1,1,1,616,2,2
2,2,3.333333333,1,2,4,1074,2,2
5,2.5,3.666666667,4,3,2,1114,1,2
5,1,2,2,2,2,1031,1,2
2,1,2,4,3,3,12,2,3
1,1,1,1,3,1,1245,2,2
1,2,2.666666667,3,5,5,1354,3,1
2,2.5,1.666666667,2,1,2,710,2,3
2,2.5,1,1,4,1,530,2,8
5,1,2,1,4,3,1663,1,6
3,1,2,4,1,2,1564,2,4
5,2,3.333333333,3,3,5,2382,1,5
1,3.5,4.333333333,1,6,6,1289,3,9
5,4.5,3,3,4,3,1248,3,10
3,1,3.333333333,1,3,2,1687,2,3
2,2.5,3.666666667,3,3,3,2123,3,3
5,4,2.333333333,1,3,6,999,1,7
2,2,1.333333333,6,6,6,852,3,4
2,1,2,1,1,1,31,2,11
4,3.5,3.333333333,4,4,4,245,3,2
3,2,2.666666667,4,3,3,1138,3,4
5,3,3.333333333,2,5,5,646,3,3
2,2,3,3,3,4,453,3,4
6,1,1.333333333,1,4,3,842,1,7
3,1.5,3.333333333,2,2,4,1162,1,7
3,1.5,3.333333333,1,1,2,2225,2,3
5,2,4.333333333,3,5,3,2078,3,3
3,3.5,3,4,3,5,519,3,2
3,1,2.666666667,3,3,3,1572,3,7
4,1.5,1.333333333,2,2,3,1755,1,10
3,2,3.666666667,2,4,6,2038,3,6
5,4,2,3,4,4,1611,3,9
2,3,1.333333333,3,2,3,1091,2,3
3,1,2,1,1,1,269,2,5
4,2,2,1,2,4,1371,1,2
3,1,4,1,1,3,1576,2,4
4,1,1.666666667,1,2,2,324,1,3
2,2,1.666666667,2,5,2,1390,3,2
1,1,1.333333333,1,1,2,133,2,5
5,2.5,1,5,3,6,2006,3,3
2,2,2,2,2,4,2224,2,4
3,2.5,3,2,4,3,1530,3,7
2,2,2,1,3,2,989,2,8
1,1.5,1,2,1,2,596,2,3
2,2.5,3,2,4,3,1312,3,6
1,2.5,1.666666667,1,1,3,1608,2,4
3,2,2.666666667,3,4,2,2282,3,3
1,1,2,2,4,3,1049,2,2
2,2,1.333333333,3,4,2,1110,2,4
5,5,3.333333333,2,5,5,437,3,3
1,1,1,1,1,1,2176,2,9
3,3,3,3,3,3,792,3,2
4,1,2,6,5,5,1329,3,11
5,1,3,3,4,4,2053,1,10
1,2,2.666666667,2,2,2,1149,2,4
1,1,1,1,1,1,767,2,4
2,1.5,2.666666667,1,1,1,1000,2,3
1,1,2.333333333,2,2,3,1882,2,1
5,1,1.666666667,4,4,3,1330,1,3
3,3.5,1.333333333,4,3,5,1603,3,10
2,2,1.666666667,2,1,3,567,2,2
2,1,1.666666667,2,2,3,2227,2,3
4,4.5,3.666666667,3,4,3,483,3,4
3,1.5,2,3,4,2,1771,3,2
1,1,4,2,5,3,145,3,7
5,1,2.666666667,2,4,4,1021,1,8
2,1,2.333333333,2,2,2,740,2,4
5,3.5,4.333333333,4,3,5,535,3,9
4,4,3.666666667,1,6,6,1830,3,5
5,1,2,1,4,3,547,1,5
3,1,1.333333333,1,3,3,2013,2,5
5,1,4,3,3,1,776,1,8
3,1.5,3.333333333,3,4,3,704,3,5
6,3.5,3.333333333,3,2,5,1932,1,6
5,2,2.666666667,3,6,3,1464,3,4
4,2.5,3.333333333,4,4,4,298,3,3
2,3.5,2.333333333,2,4,4,500,3,7
6,1,3,1,4,3,688,1,4
6,2,2.666666667,1,1,5,1715,1,10
6,1,2,2,1,6,1408,1,6
1,1,1,1,1,1,1164,2,9
3,3,1.333333333,1,2,2,266,2,2
6,2,1.333333333,1,3,1,142,1,8
5,2.5,2.333333333,3,3,2,1438,1,3
4,2,2,1,2,3,8,1,11
3,1,1,3,1,3,870,2,4
1,2,2.333333333,1,4,3,114,2,5
5,1,1.333333333,1,2,3,1674,1,4
5,1,1.666666667,1,3,1,1698,1,6
4,1,2.333333333,2,3,2,2040,1,3
2,1.5,1,2,1,1,514,2,3
2,1.5,2,2,3,4,687,2,3
1,3.5,1.333333333,2,5,4,88,3,2
4,1,1,1,1,4,320,1,6
3,2,4.333333333,2,5,5,2125,3,6
1,1,1,1,1,1,1083,2,3
4,1,1.333333333,1,1,1,2095,2,4
5,2,3,3,4,3,1906,1,6
3,2,1.666666667,1,2,1,480,2,2
3,1.5,2.333333333,2,3,1,777,2,4
1,1,2,1,3,2,1143,2,2
3,1,2,1,3,4,135,1,8
2,1.5,2.333333333,1,3,5,641,3,4
2,3,2,3,2,3,505,2,4
5,3,4.333333333,3,5,5,1458,3,8
2,1,2,1,1,3,1088,2,5
4,2,2.666666667,3,4,5,1909,3,3
1,1,1,1,2,2,1353,2,3
6,3.5,3.333333333,2,3,4,364,1,8
2,2,3,1,3,3,1557,2,4
4,2.5,3,2,3,3,2246,1,3
5,1,1,1,5,3,1325,1,9
3,1,1.333333333,3,1,3,1421,2,5
4,3,4,3,2,3,1642,1,7
3,2,3.666666667,2,2,3,2297,2,6
3,3.5,3.333333333,4,1,5,2322,3,2
3,1,1.666666667,1,4,4,1779,3,6
4,1,1,1,1,4,2264,1,5
1,1,1,1,1,1,2312,2,6
1,2,2,3,1,2,2180,2,2
6,4,2,4,4,4,931,3,2
4,1.5,3.333333333,3,4,3,263,3,6
1,3.5,1.333333333,1,5,3,1778,3,2
2,3,3.333333333,2,2,2,35,2,2
1,1.5,1.666666667,1,2,1,887,2,3
4,2,3.333333333,1,3,3,110,1,7
1,1,4,2,6,2,262,3,8
2,2,2,4,3,3,910,3,2
1,1.5,2.333333333,1,2,1,1023,2,2
2,1,4,4,6,2,679,3,2
6,2,3,1,2,5,797,1,4
1,1,2.666666667,1,1,1,2074,2,5
2,2,2.666666667,3,2,3,23,2,3
2,2.5,1.333333333,2,1,3,361,2,6
3,1,3.333333333,2,6,1,2160,3,2
2,1.5,3,1,3,3,565,2,7
4,2.5,2,2,1,1,2386,2,2
1,2.5,1.333333333,2,1,2,1287,2,1
5,1.5,3,3,4,4,2076,1,5
2,3.5,2.666666667,4,2,4,1581,3,11
6,1,1.666666667,3,3,3,1720,1,7
3,1.5,1.333333333,2,3,3,1340,2,6
5,2,2.666666667,3,3,3,1500,1,8
3,1,1.333333333,1,1,1,1476,2,2
4,1,3.333333333,1,3,3,215,1,8
3,1,1,2,1,2,1435,2,5
2,2,1.333333333,2,1,1,2208,2,3
4,3.5,2.666666667,2,4,2,72,1,4
2,1,2,2,5,2,975,2,6
5,3.5,2,2,4,3,763,1,7
1,1,2,1,4,1,1960,2,3
1,4,4.666666667,2,4,2,1171,3,6
4,2.5,2.666666667,3,3,3,2374,1,2
4,1.5,2,5,3,6,1842,3,2
1,1,2.333333333,2,4,4,1785,3,7
5,1.5,2,2,3,3,1700,1,9
3,2,2.333333333,3,2,2,2255,2,5
1,1,1,1,1,3,1529,2,4
5,3.5,1.333333333,2,5,5,2035,3,7
1,1.5,1,2,2,4,771,2,2
3,3,2.666666667,3,3,2,993,3,7
2,5,2.666666667,3,5,5,1571,3,7
4,1,3.666666667,1,3,3,1691,1,8
1,1,1,1,1,1,230,2,2
4,1.5,3,2,5,5,2091,3,9
3,2.5,2.333333333,1,1,3,2360,2,6
5,4,4,3,6,6,2183,3,9
3,2,1,1,1,4,1689,2,4
1,1,1,1,1,5,591,2,2
2,2,2.333333333,2,4,3,1071,3,3
3,3,3,3,2,3,2353,3,3
5,3.5,3,3,4,3,1217,3,9
5,1.5,1.333333333,2,2,3,180,1,6
3,1.5,2,2,3,4,1998,3,4
2,2,2,4,3,4,1613,3,8
4,2,3.333333333,4,3,3,800,3,2
5,3.5,2.666666667,3,3,3,430,1,4
3,2,2,3,3,4,240,3,7
5,3,3.666666667,3,5,3,680,3,3
6,1,3.333333333,1,5,4,15,1,2
5,1.5,3,2,4,3,1589,1,4
6,3.5,3,3,6,5,414,3,10
5,3.5,4,4,2,5,44,3,3
1,1,1,1,3,3,1843,2,7
2,4,3.333333333,1,1,5,355,2,5
2,2,2,2,2,2,214,2,5
6,1,6,6,6,6,243,3,2
6,4.5,3.666666667,5,1,4,267,1,1
3,1.5,3.333333333,2,3,4,2069,3,6
2,1.5,1.666666667,1,2,2,625,2,4
4,1,3.666666667,4,5,4,1829,3,7
3,2.5,2,3,4,4,1450,3,8
2,1,2,1,1,1,714,2,6
2,1,2,1,3,6,1528,3,8
4,2.5,3.666666667,2,4,4,1533,3,9
1,1,2.666666667,2,3,4,1671,2,3
5,1.5,2.333333333,1,2,5,1047,1,8
3,1.5,1,2,3,4,492,1,3
1,1,1,1,1,1,1870,2,7
2,2,2.333333333,1,1,4,1527,2,7
2,3,2.333333333,2,4,2,1418,2,6
2,2,2.333333333,2,3,3,404,2,4
4,2,1,2,4,5,274,3,9
1,1,1,1,1,1,2260,2,2
3,1,2.333333333,1,4,5,1794,3,2
2,1.5,2.333333333,4,2,4,1954,3,2
1,1,3.666666667,4,3,3,1536,3,1
4,1.5,2,1,4,1,1314,1,4
5,1,2.666666667,1,3,5,36,1,5
2,4,2.666666667,2,2,3,1009,2,2
5,3,3,2,5,4,2252,3,3
6,1,3,2,3,2,1545,1,7
3,3,3,3,3,3,1921,3,2
2,1,4,3,2,5,442,3,3
4,1,1,3,2,2,799,1,5
