"","x"
"1853",1
"1097",1
"65",1
"1762",1
"1016",2
"1511",3
"1404",2
"1027",1
"729",4
"751",3
"121",1
"628",1
"2117",1
"1317",4
"1349",1
"277",1
"1891",1
"2139",3
"1112",1
"1861",1
"908",1
"1345",1
"2030",2
"1449",2
"2310",3
"420",1
"431",1
"550",4
"2146",1
"256",1
"2329",3
"1833",1
"720",1
"1230",1
"139",5
"1099",1
"1397",1
"1378",1
"2109",1
"2307",2
"1103",4
"610",1
"1543",1
"1373",1
"1375",1
"1428",3
"2242",3
"1588",1
"1193",1
"1553",1
"568",5
"1731",1
"1860",1
"163",1
"24",2
"2347",1
"493",2
"306",1
"862",1
"413",3
"616",1
"1074",1
"1114",1
"1031",1
"12",1
"1245",1
"1354",1
"710",1
"530",1
"1663",1
"1564",1
"2382",4
"1289",2
"1248",4
"1687",1
"2123",1
"999",3
"852",1
"31",5
"245",2
"1138",1
"646",4
"453",2
"842",1
"1162",1
"2225",1
"2078",4
"519",2
"1572",1
"1755",1
"2038",1
"1611",4
"1091",3
"269",1
"1371",1
"1576",1
"324",1
"1390",1
"133",1
"2006",1
"2224",1
"1530",2
"989",1
"596",1
"1312",2
"1608",3
"2282",1
"1049",1
"1110",1
"437",2
"2176",1
"792",2
"1329",1
"2053",1
"1149",1
"767",1
"1000",1
"1882",1
"1330",1
"1603",3
"567",1
"2227",1
"483",4
"1771",1
"145",5
"1021",1
"740",1
"535",2
"1830",2
"547",1
"2013",1
"776",4
"704",4
"1932",2
"1464",1
"298",2
"500",3
"688",1
"1715",1
"1408",1
"1164",1
"266",3
"142",1
"1438",1
"8",1
"870",1
"114",1
"1674",1
"1698",1
"2040",1
"514",1
"687",1
"88",3
"320",1
"2125",4
"1083",1
"2095",1
"1906",1
"480",1
"777",3
"1143",1
"135",1
"641",1
"505",3
"1458",4
"1088",1
"1909",1
"1353",1
"364",2
"1557",1
"2246",1
"1325",1
"1421",1
"1642",2
"2297",1
"2322",4
"1779",1
"2264",1
"2312",1
"2180",3
"931",4
"263",4
"1778",3
"35",1
"887",1
"110",1
"262",5
"910",1
"1023",5
"679",5
"797",1
"2074",5
"23",1
"361",1
"2160",1
"565",1
"2386",3
"1287",3
"2076",1
"1581",3
"1720",1
"1340",1
"1500",1
"1476",1
"215",1
"1435",1
"2208",1
"72",3
"975",1
"763",3
"1960",5
"1171",2
"2374",1
"1842",1
"1785",1
"1700",1
"2255",3
"1529",1
"2035",1
"771",1
"993",1
"1571",2
"1691",1
"230",1
"2091",4
"2360",1
"2183",2
"1689",1
"591",1
"1071",1
"2353",1
"1217",2
"180",1
"1998",1
"1613",1
"800",1
"430",3
"240",1
"680",4
"15",4
"1589",1
"414",2
"44",4
"1843",1
"355",3
"214",3
"243",2
"267",4
"2069",1
"625",1
"1829",4
"1450",1
"714",5
"1528",1
"1533",1
"1671",1
"1047",1
"492",1
"1870",1
