 words,counts
Safer than conventional cars,34
Lower insurance costs than conventional cars,33
Allows multi tasking productivity while vehicle drives,30
Has highest safety ratings from government agencies,29
Switches to self driving mode on freeways,28
Switches to self driving mode during traffic,28
Offers better MPG than conventional cars,28
Tax breaks are offered for self driving cars,28
Drives on dedicated lanes where traffic is fluid,26
Drops me off finds a parking spot and parks on its own,24
Novelty of driving in a self driving car,22
Helps environment because of low emissions,22
Lower more predictable maintenance costs,21
Can drive around elderly people,17
Allows me to save money through car sharing,13
